[2026-02-13 01:50:49] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\suspicious.ps1 | Reasons=NONE
[2026-02-13 01:51:02] | SUSPICIOUS | Risk=40 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\base64.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 01:51:02] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\malware.ps1 | Reasons=NONE
[2026-02-13 01:51:02] | CLEAN | Risk=10 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\safe.ps1 | Reasons=NONE
[2026-02-13 01:51:02] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\suspicious.ps1 | Reasons=NONE
[2026-02-13 01:51:34] | SUSPICIOUS | Risk=40 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\base64.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 01:51:34] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\malware.ps1 | Reasons=NONE
[2026-02-13 01:51:34] | CLEAN | Risk=10 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\safe.ps1 | Reasons=NONE
[2026-02-13 01:51:34] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\suspicious.ps1 | Reasons=NONE
[2026-02-13 02:12:25] | SUSPICIOUS | Risk=40 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\base64.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 02:12:25] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\malware.ps1 | Reasons=NONE
[2026-02-13 02:12:25] | CLEAN | Risk=10 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\safe.ps1 | Reasons=NONE
[2026-02-13 02:12:25] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Kodlama Projeleri/mini_av/Deneme Klasörü\suspicious.ps1 | Reasons=NONE
[2026-02-13 02:32:16] | SUSPICIOUS | Risk=40 | C:/Users/berke/Desktop/Deneme Klasörü\base64.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 02:32:16] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Deneme Klasörü\malware.ps1 | Reasons=NONE
[2026-02-13 02:32:16] | CLEAN | Risk=10 | C:/Users/berke/Desktop/Deneme Klasörü\safe.ps1 | Reasons=NONE
[2026-02-13 02:32:16] | CLEAN | Risk=30 | C:/Users/berke/Desktop/Deneme Klasörü\suspicious.ps1 | Reasons=NONE
[2026-02-13 02:46:53] | SUSPICIOUS | Risk=40 | C:\Users\berke\Desktop\Deneme Klasörü\base64.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 02:46:53] | CLEAN | Risk=30 | C:\Users\berke\Desktop\Deneme Klasörü\malware.ps1 | Reasons=NONE
[2026-02-13 02:46:53] | CLEAN | Risk=10 | C:\Users\berke\Desktop\Deneme Klasörü\safe.ps1 | Reasons=NONE
[2026-02-13 02:46:53] | CLEAN | Risk=30 | C:\Users\berke\Desktop\Deneme Klasörü\suspicious.ps1 | Reasons=NONE
[2026-02-13 02:54:01] | SUSPICIOUS | Risk=40 | C:\Users\berke\Desktop\Deneme Klasörü\base64.ps1 | Reasons=HEURISTICS_TRIGGER
[2026-02-13 02:54:01] | CLEAN | Risk=30 | C:\Users\berke\Desktop\Deneme Klasörü\malware.ps1 | Reasons=NONE
[2026-02-13 02:54:01] | CLEAN | Risk=10 | C:\Users\berke\Desktop\Deneme Klasörü\safe.ps1 | Reasons=NONE
